Strand,Substrand,Content domain reference,Year,Module
Number and place value,place value; roman numerals,N3,Year 5,"determine the value of each digit in numbers up to 1,000,000; read Roman numerals to 1,000 (M) and recognise years written in Roman numerals"
Number and place value,place value; roman numerals,N3,Year 6,"determine the value of each digit in numbers up to 10,000,000"
Number and place value,"identify, represent and estimate; rounding",N4,Year 1,"identify and represent numbers using objects and pictorial representations including the number line, and use the language of: equal to, more than, less than (fewer), most, least"
Number and place value,"identify, represent and estimate; rounding",N4,Year 2,"identify, represent and estimate numbers using different representations, including the number line"
Number and place value,"identify, represent and estimate; rounding",N4,Year 3,"identify, represent and estimate numbers using different representations"
Number and place value,"identify, represent and estimate; rounding",N4,Year 4,"identify, represent and estimate numbers using different representations; round any number to the nearest 10, 100 or 1,000"
Number and place value,"identify, represent and estimate; rounding",N4,Year 5,"round any number up to 1,000,000 to the nearest 10, 100, 1,000, 10,000 and 100,000"
Number and place value,"identify, represent and estimate; rounding",N4,Year 6,round any whole number to a required degree of accuracy
Number and place value,negative numbers,N5,Year 1,
Number and place value,negative numbers,N5,Year 2,
Number and place value,negative numbers,N5,Year 3,
Number and place value,negative numbers,N5,Year 4,count backwards through zero to include negative numbers
Number and place value,negative numbers,N5,Year 5,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero"
Number and place value,negative numbers,N5,Year 6,"use negative numbers in context, and calculate intervals across zero"
Number and place value,number problems,N6,Year 1,
Number and place value,number problems,N6,Year 2,use place value and number facts to solve problems
Number and place value,number problems,N6,Year 3,solve number problems and practical problems involving 3N1-3N4
Number and place value,number problems,N6,Year 4,solve number and practical problems that involve 4N1-4N5 and with increasingly large positive numbers
Number and place value,number problems,N6,Year 5,solve number problems and practical problems that involve 5N1-5N5
Number and place value,number problems,N6,Year 6,solve number problems and practical problems that involve 6N2-6N5
"Addition, subtraction, multiplication and division (calculations)",add / subtract mentally,C1,Year 1,represent and use number bonds and related subtraction facts within 20
"Addition, subtraction, multiplication and division (calculations)",add / subtract mentally,C1,Year 2,"recall and use addition and subtraction facts to 20 fluently, and derive and use related facts up to 100"
"Addition, subtraction, multiplication and division (calculations)",add / subtract mentally,C1,Year 3,"add and subtract numbers mentally, including: a three-digit number and ones, a three-digit number and tens, a three-digit number and hundreds"
"Addition, subtraction, multiplication and division (calculations)",add / subtract mentally,C1,Year 4,
"Addition, subtraction, multiplication and division (calculations)",add / subtract mentally,C1,Year 5,add and subtract numbers mentally with increasingly large numbers
"Addition, subtraction, multiplication and division (calculations)",add / subtract mentally,C1,Year 6,
"Addition, subtraction, multiplication and division (calculations)",add / subtract using written methods,C2,Year 1,"add and subtract one-digit and two-digit numbers to 20, including zero; read, write and interpret mathematical statements involving addition (+), subtraction (–) and equals (=) signs"
"Addition, subtraction, multiplication and division (calculations)",add / subtract using written methods,C2,Year 2,"add and subtract numbers using concrete objects, pictorial representations, and mentally, including: a two-digit number and ones, a two-digit number and tens, two two-digit numbers, adding three one-digit numbers"
"Addition, subtraction, multiplication and division (calculations)",add / subtract using written methods,C2,Year 3,"add and subtract numbers with up to three digits, using formal written methods of columnar addition and subtraction"
"Addition, subtraction, multiplication and division (calculations)",add / subtract using written methods,C2,Year 4,add and subtract numbers with up to 4 digits using the formal written methods of columnar addition and subtraction where appropriate
"Addition, subtraction, multiplication and division (calculations)",add / subtract using written methods,C2,Year 5,"add and subtract whole numbers with more than 4 digits, including using formal written methods (columnar addition and subtraction)"
"Addition, subtraction, multiplication and division (calculations)",add / subtract using written methods,C2,Year 6,
"Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",C3,Year 1,
"Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",C3,Year 2,recognise and use the inverse relationship between addition and subtraction and use this to check calculations and missing number problems
"Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",C3,Year 3,estimate the answer to a calculation and use inverse operations to check answers
"Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",C3,Year 4,estimate and use inverse operations to check answers to a calculation
"Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",C3,Year 5,"use rounding to check answers to calculations and determine, in the context of a problem, levels of accuracy"
"Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",C3,Year 6,"use estimation to check answers to calculations and determine, in the context of a problem, an appropriate degree of accuracy"
"Addition, subtraction, multiplication and division (calculations)",add / subtract to solve problems,C4,Year 1,"solve one-step problems that involve addition and subtraction, using concrete objects and pictorial representations, and missing number problems such as 7 = _ – 9"
"Addition, subtraction, multiplication and division (calculations)",add / subtract to solve problems,C4,Year 2,"solve problems with addition and subtraction: using concrete objects and pictorial representations, including those involving numbers, quantities and measures; applying their increasing knowledge of mental and written methods"
"Addition, subtraction, multiplication and division (calculations)",add / subtract to solve problems,C4,Year 3,"solve problems, including missing number problems, using number facts, place value, and more complex addition and subtraction"
"Addition, subtraction, multiplication and division (calculations)",add / subtract to solve problems,C4,Year 4,"solve addition and subtraction two-step problems in contexts, deciding which operations and methods to use and why"
"Addition, subtraction, multiplication and division (calculations)",add / subtract to solve problems,C4,Year 5,"solve addition and subtraction multi-step problems in contexts, deciding which operations and methods to use and why"
"Addition, subtraction, multiplication and division (calculations)",add / subtract to solve problems,C4,Year 6,"solve addition and subtraction multi-step problems in contexts, deciding which operations and methods to use and why"
"Addition, subtraction, multiplication and division (calculations)","properties of number (multiples, factors, primes, squares and cubes)",C5,Year 1,
"Addition, subtraction, multiplication and division (calculations)","properties of number (multiples, factors, primes, squares and cubes)",C5,Year 2,
"Addition, subtraction, multiplication and division (calculations)","properties of number (multiples, factors, primes, squares and cubes)",C5,Year 3,
"Addition, subtraction, multiplication and division (calculations)","properties of number (multiples, factors, primes, squares and cubes)",C5,Year 4,
"Addition, subtraction, multiplication and division (calculations)","properties of number (multiples, factors, primes, squares and cubes)",C5,Year 5,"identify multiples and factors, including finding all factor pairs of a number and common factors of two numbers; know and use the vocabulary of prime numbers, prime factors and composite (non-prime) numbers; establish whether a number up to 100 is prime and recall prime numbers up to 19; recognise and use square numbers and cube numbers, and the notation for squared (²) and cubed (³)"
"Addition, subtraction, multiplication and division (calculations)","properties of number (multiples, factors, primes, squares and cubes)",C5,Year 6,"identify common factors, common multiples and prime numbers"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide mentally,C6,Year 1,
"Addition, subtraction, multiplication and division (calculations)",multiply / divide mentally,C6,Year 2,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide mentally,C6,Year 3,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide mentally,C6,Year 4,"recall multiplication and division facts for multiplication tables up to 12 x 12; use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1, dividing by 1, multiplying together three numbers; recognise and use factor pairs and commutativity in mental calculations"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide mentally,C6,Year 5,"multiply and divide numbers mentally drawing upon known facts; multiply and divide whole numbers and those involving decimals by 10, 100 and 1,000"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide mentally,C6,Year 6,"perform mental calculations, including with mixed operations and large numbers"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide using written methods,C7,Year 1,
"Addition, subtraction, multiplication and division (calculations)",multiply / divide using written methods,C7,Year 2,"calculate mathematical statements for multiplication and division within the multiplication tables and write them using the multiplication (×), division (÷) and equals (=) signs"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide using written methods,C7,Year 3,"write and calculate mathematical statements for multiplication and division using the multiplication tables that pupils know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide using written methods,C7,Year 4,multiply two-digit and three-digit numbers by a one-digit number using formal written layout
"Addition, subtraction, multiplication and division (calculations)",multiply / divide using written methods,C7,Year 5,"multiply numbers up to 4 digits by a one- or two-digit number using a formal written method, including long multiplication for two-digit numbers; divide numbers up to 4 digits by a one-digit number using the formal written method of short division and interpret remainders appropriately for the context"
"Addition, subtraction, multiplication and division (calculations)",multiply / divide using written methods,C7,Year 6,"multiply multi-digit numbers up to 4 digits by a two-digit whole number using the formal written method of long multiplication; divide numbers up to 4 digits by a two-digit whole number using the formal written method of long division, and interpret remainders as whole number remainders, fractions, or by rounding, as appropriate for the context; divide numbers up to 4 digits by a two-digit number using the formal written method of short division where appropriate, interpreting remainders according to the context"
"Addition, subtraction, multiplication and division (calculations)","solve problems (commutative, associative, distributive and all four operations)",C8,Year 1,"solve one-step problems involving multiplication and division, by calculating the answer using concrete objects, pictorial representations and arrays with the support of the teacher"
"Addition, subtraction, multiplication and division (calculations)","solve problems (commutative, associative, distributive and all four operations)",C8,Year 2,"solve problems involving multiplication and division, using materials, arrays, repeated addition, mental methods, and multiplication and division facts, including problems in contexts; show that addition of two numbers can be done in any order (commutative) and subtraction of one number from another cannot; show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot"
"Addition, subtraction, multiplication and division (calculations)","solve problems (commutative, associative, distributive and all four operations)",C8,Year 3,"solve problems, including missing number problems, involving multiplication and division, including integer scaling problems and correspondence problems in which n objects are connected to m objects"
"Addition, subtraction, multiplication and division (calculations)","solve problems (commutative, associative, distributive and all four operations)",C8,Year 4,"solve problems involving multiplying and adding, including using the distributive law to multiply two-digit numbers by one digit, integer scaling problems and harder correspondence problems such as n objects are connected to m objects"
"Addition, subtraction, multiplication and division (calculations)","solve problems (commutative, associative, distributive and all four operations)",C8,Year 5,"solve problems involving multiplication and division including using their knowledge of factors and multiples, squares and cubes; solve problems involving addition, subtraction, multiplication and division and a combination of these, including understanding the meaning of the equals sign; solve problems involving multiplication and division including scaling by simple fractions and problems involving simple rates"
"Addition, subtraction, multiplication and division (calculations)","solve problems (commutative, associative, distributive and all four operations)",C8,Year 6,"solve problems involving addition, subtraction, multiplication and division"
"Addition, subtraction, multiplication and division (calculations)",order of operations,C9,Year 1,
"Addition, subtraction, multiplication and division (calculations)",order of operations,C9,Year 2,
"Addition, subtraction, multiplication and division (calculations)",order of operations,C9,Year 3,
"Addition, subtraction, multiplication and division (calculations)",order of operations,C9,Year 4,
"Addition, subtraction, multiplication and division (calculations)",order of operations,C9,Year 5,
"Addition, subtraction, multiplication and division (calculations)",order of operations,C9,Year 6,use their knowledge of the order of operations to carry out calculations involving the four operations
"Fractions, decimals and percentages","recognise, find, write, name and count fractions",F1,Year 1,"recognise, find and name a half as one of two equal parts of an object, shape or quantity; recognise, find and name a quarter as one of four equal parts of an object, shape or quantity"
"Fractions, decimals and percentages","recognise, find, write, name and count fractions",F1,Year 2,"recognise, find, name and write fractions ⅓, ¼, ²⁄₄ and ¾ of a length, shape, set of objects or quantity; write simple fractions, for example, ½ of 6 = 3"
"Fractions, decimals and percentages","recognise, find, write, name and count fractions",F1,Year 3,"count up and down in tenths, recognise that tenths arise from dividing an object into 10 equal parts and in dividing one-digit numbers or quantities by 10; recognise, find and write fractions of a discrete set of objects: unit fractions and non-unit fractions with small denominators; recognise and use fractions as numbers: unit fractions and non-unit fractions with small denominators"
"Fractions, decimals and percentages","recognise, find, write, name and count fractions",F1,Year 4,count up and down in hundredths; recognise that hundredths arise when dividing an object by a hundred and dividing tenths by ten
"Fractions, decimals and percentages","recognise, find, write, name and count fractions",F1,Year 5,
"Fractions, decimals and percentages","recognise, find, write, name and count fractions",F1,Year 6,
"Fractions, decimals and percentages",equivalent fractions,F2,Year 1,
"Fractions, decimals and percentages",equivalent fractions,F2,Year 2,recognise the equivalence of ²⁄₄ and ½
"Fractions, decimals and percentages",equivalent fractions,F2,Year 3,"recognise and show, using diagrams, equivalent fractions with small denominators"
"Fractions, decimals and percentages",equivalent fractions,F2,Year 4,"recognise and show, using diagrams, families of common equivalent fractions"
"Fractions, decimals and percentages",equivalent fractions,F2,Year 5,"recognise mixed numbers and improper fractions and convert from one form to the other; write mathematical statements >1 as a mixed number [e.g. ⅖ + ⅘ = ⁶⁄₅ = 1⅕]; identify name and write equivalent fractions of a given fraction, represented visually, including tenths and hundredths"
"Fractions, decimals and percentages",equivalent fractions,F2,Year 6,use common factors to simplify fractions; use common multiples to express fractions in the same denomination
"Fractions, decimals and percentages",comparing and ordering fractions,F3,Year 1,
"Fractions, decimals and percentages",comparing and ordering fractions,F3,Year 2,
"Fractions, decimals and percentages",comparing and ordering fractions,F3,Year 3,compare and order unit fractions and fractions with the same denominators
"Fractions, decimals and percentages",comparing and ordering fractions,F3,Year 4,
"Fractions, decimals and percentages",comparing and ordering fractions,F3,Year 5,compare and order fractions whose denominators are all multiples of the same number
"Fractions, decimals and percentages",comparing and ordering fractions,F3,Year 6,"compare and order fractions, including fractions > 1"
"Fractions, decimals and percentages",add / subtract fractions,F4,Year 1,
"Fractions, decimals and percentages",add / subtract fractions,F4,Year 2,
"Fractions, decimals and percentages",add / subtract fractions,F4,Year 3,add and subtract fractions with the same denominator within one whole [e.g. ⅚ + ⅚ = ⁶⁄₇]
"Fractions, decimals and percentages",add / subtract fractions,F4,Year 4,add and subtract fractions with the same denominator
"Fractions, decimals and percentages",add / subtract fractions,F4,Year 5,add and subtract fractions with the same denominator and denominators that are multiples of the same number
"Fractions, decimals and percentages",add / subtract fractions,F4,Year 6,"add and subtract fractions with different denominators and mixed numbers, using the concept of equivalent fractions"
"Fractions, decimals and percentages",multiply / divide fractions,F5,Year 1,
"Fractions, decimals and percentages",multiply / divide fractions,F5,Year 2,
"Fractions, decimals and percentages",multiply / divide fractions,F5,Year 3,
"Fractions, decimals and percentages",multiply / divide fractions,F5,Year 4,
"Fractions, decimals and percentages",multiply / divide fractions,F5,Year 5,"multiply proper fractions and mixed numbers by whole numbers, supported by materials and diagrams"
"Fractions, decimals and percentages",multiply / divide fractions,F5,Year 6,"multiply simple pairs of proper fractions, writing the answer in its simplest form [e.g. ¼ x ½ = ⅛]; divide proper fractions by whole numbers [e.g. ⅓ ÷ 2 = ⅙]"
"Fractions, decimals and percentages",fractions / decimals equivalence,F6,Year 1,
"Fractions, decimals and percentages",fractions / decimals equivalence,F6,Year 2,
"Fractions, decimals and percentages",fractions / decimals equivalence,F6,Year 3,
"Fractions, decimals and percentages",fractions / decimals equivalence,F6,Year 4,"recognise and write decimal equivalents to ¼, ½, ¾; recognise and write decimal equivalents of any number of tenths or hundredths"
"Fractions, decimals and percentages",fractions / decimals equivalence,F6,Year 5,"read and write decimal numbers as fractions [e.g. 0.71 = ⁷¹⁄₁₀₀]; recognise and use thousandths and relate them to tenths, hundredths and decimal equivalents"
"Fractions, decimals and percentages",fractions / decimals equivalence,F6,Year 6,associate a fraction with division to calculate decimal fraction equivalents (e.g. 0.375) for a simple fraction [e.g. ⅜]
"Fractions, decimals and percentages",rounding decimals,F7,Year 1,
"Fractions, decimals and percentages",rounding decimals,F7,Year 2,
"Fractions, decimals and percentages",rounding decimals,F7,Year 3,
"Fractions, decimals and percentages",rounding decimals,F7,Year 4,round decimals with one decimal place to the nearest whole number
"Fractions, decimals and percentages",rounding decimals,F7,Year 5,round decimals with two decimal places to the nearest whole number and to one decimal place
"Fractions, decimals and percentages",rounding decimals,F7,Year 6,
"Fractions, decimals and percentages",compare and order decimals,F8,Year 1,
"Fractions, decimals and percentages",compare and order decimals,F8,Year 2,
"Fractions, decimals and percentages",compare and order decimals,F8,Year 3,
"Fractions, decimals and percentages",compare and order decimals,F8,Year 4,compare numbers with the same number of decimal places up to two decimal places
"Fractions, decimals and percentages",compare and order decimals,F8,Year 5,"read, write, order and compare numbers with up to three decimal places"
"Fractions, decimals and percentages",compare and order decimals,F8,Year 6,
"Fractions, decimals and percentages",multiply / divide decimals,F9,Year 1,
"Fractions, decimals and percentages",multiply / divide decimals,F9,Year 2,
"Fractions, decimals and percentages",multiply / divide decimals,F9,Year 3,
"Fractions, decimals and percentages",multiply / divide decimals,F9,Year 4,"find the effect of dividing a one- or two-digit number by 10 and 100, identifying the value of the digits in the answer as ones, tenths and hundredths"
"Fractions, decimals and percentages",multiply / divide decimals,F9,Year 5,
"Fractions, decimals and percentages",multiply / divide decimals,F9,Year 6,"identify the value of each digit to three decimal places and multiply and divide numbers by 10, 100 and 1,000 giving answers up to three decimal places; multiply one-digit numbers with up to two-decimal places by whole numbers; use written division methods in cases where the answer has up to two-decimal places"
"Fractions, decimals and percentages",solve problems with fractions and decimals,F10,Year 1,
"Fractions, decimals and percentages",solve problems with fractions and decimals,F10,Year 2,
"Fractions, decimals and percentages",solve problems with fractions and decimals,F10,Year 3,solve problems that involve 3F1-3F4
"Fractions, decimals and percentages",solve problems with fractions and decimals,F10,Year 4,"solve problems involving increasingly harder fractions to calculate quantities and fractions to divide quantities, including non-unit fractions where the answer is a whole number; solve simple measure and money problems involving fractions and decimals to two decimal places"
"Fractions, decimals and percentages",solve problems with fractions and decimals,F10,Year 5,solve problems involving numbers up to three decimal places
"Fractions, decimals and percentages",solve problems with fractions and decimals,F10,Year 6,solve problems which require answers to be rounded to specified degrees of accuracy
"Fractions, decimals and percentages",fractions / decimal / percentage equivalence,F11,Year 1,
"Fractions, decimals and percentages",fractions / decimal / percentage equivalence,F11,Year 2,
"Fractions, decimals and percentages",fractions / decimal / percentage equivalence,F11,Year 3,
"Fractions, decimals and percentages",fractions / decimal / percentage equivalence,F11,Year 4,
"Fractions, decimals and percentages",fractions / decimal / percentage equivalence,F11,Year 5,"recognise the per cent symbol (%) and understand that per cent relates to 'number of parts per hundred'; write percentages as a fraction with denominator hundred, and as a decimal"
"Fractions, decimals and percentages",fractions / decimal / percentage equivalence,F11,Year 6,"recall and use equivalences between simple fractions, decimals and percentages, including in different contexts"
"Fractions, decimals and percentages",solve problems with percentages,F12,Year 1,
"Fractions, decimals and percentages",solve problems with percentages,F12,Year 2,
"Fractions, decimals and percentages",solve problems with percentages,F12,Year 3,
"Fractions, decimals and percentages",solve problems with percentages,F12,Year 4,
"Fractions, decimals and percentages",solve problems with percentages,F12,Year 5,"solve problems that require knowing percentage and decimal equivalents of ½, ¼, ⅕, ⅖, ⅘ and those fractions with a denominator of a multiple of 10 or 25"
"Fractions, decimals and percentages",solve problems with percentages,F12,Year 6,
Ratio and proportion,"relative sizes, similarity",R1,Year 1,
Ratio and proportion,"relative sizes, similarity",R1,Year 2,
Ratio and proportion,"relative sizes, similarity",R1,Year 3,
Ratio and proportion,"relative sizes, similarity",R1,Year 4,
Ratio and proportion,"relative sizes, similarity",R1,Year 5,
Ratio and proportion,"relative sizes, similarity",R1,Year 6,"solve problems involving the relative sizes of two quantities, where missing values can be found by using integer multiplication and division facts"
Ratio and proportion,use of percentages for comparison,R2,Year 1,
Ratio and proportion,use of percentages for comparison,R2,Year 2,
Ratio and proportion,use of percentages for comparison,R2,Year 3,
Ratio and proportion,use of percentages for comparison,R2,Year 4,
Ratio and proportion,use of percentages for comparison,R2,Year 5,
Ratio and proportion,use of percentages for comparison,R2,Year 6,solve problems involving the calculation of percentages [e.g. of measures such as 15% of 360] and the use of percentages for comparison
Ratio and proportion,scale factors,R3,Year 1,
Ratio and proportion,scale factors,R3,Year 2,
Ratio and proportion,scale factors,R3,Year 3,
Ratio and proportion,scale factors,R3,Year 4,
Ratio and proportion,scale factors,R3,Year 5,
Ratio and proportion,scale factors,R3,Year 6,solve problem involving similar shapes where the scale factor is known or can be found
Ratio and proportion,unequal sharing and grouping,R4,Year 1,
Ratio and proportion,unequal sharing and grouping,R4,Year 2,
Ratio and proportion,unequal sharing and grouping,R4,Year 3,
Ratio and proportion,unequal sharing and grouping,R4,Year 4,
Ratio and proportion,unequal sharing and grouping,R4,Year 5,
Ratio and proportion,unequal sharing and grouping,R4,Year 6,solve problems involving unequal sharing and grouping using knowledge of fractions and multiples
Algebra,missing number problems expressed in algebra,A1,Year 1,
Algebra,missing number problems expressed in algebra,A1,Year 2,
Algebra,missing number problems expressed in algebra,A1,Year 3,
Algebra,missing number problems expressed in algebra,A1,Year 4,
Algebra,missing number problems expressed in algebra,A1,Year 5,
Algebra,missing number problems expressed in algebra,A1,Year 6,express missing number problems algebraically
Algebra,simple formulae expressed in words,A2,Year 1,
Algebra,simple formulae expressed in words,A2,Year 2,
Algebra,simple formulae expressed in words,A2,Year 3,
Algebra,simple formulae expressed in words,A2,Year 4,
Algebra,simple formulae expressed in words,A2,Year 5,
Algebra,simple formulae expressed in words,A2,Year 6,use simple formulae
Algebra,generate and describe linear number sequences,A3,Year 1,
Algebra,generate and describe linear number sequences,A3,Year 2,
Algebra,generate and describe linear number sequences,A3,Year 3,
Algebra,generate and describe linear number sequences,A3,Year 4,
Algebra,generate and describe linear number sequences,A3,Year 5,
Algebra,generate and describe linear number sequences,A3,Year 6,generate and describe linear number sequences
Algebra,number sentences involving two unknowns,A4,Year 1,
Algebra,number sentences involving two unknowns,A4,Year 2,
Algebra,number sentences involving two unknowns,A4,Year 3,
Algebra,number sentences involving two unknowns,A4,Year 4,
Algebra,number sentences involving two unknowns,A4,Year 5,
Algebra,number sentences involving two unknowns,A4,Year 6,find pairs of numbers that satisfy an equation with two unknowns
Algebra,enumerate all possibilities of combinations of two variables,A5,Year 1,
Algebra,enumerate all possibilities of combinations of two variables,A5,Year 2,
Algebra,enumerate all possibilities of combinations of two variables,A5,Year 3,
Algebra,enumerate all possibilities of combinations of two variables,A5,Year 4,
Algebra,enumerate all possibilities of combinations of two variables,A5,Year 5,
Algebra,enumerate all possibilities of combinations of two variables,A5,Year 6,enumerate possibilities of combinations of two variables
Measurement,"compare, describe and order measures",M1,Year 1,"compare, describe and solve practical problems for: lengths and heights (e.g. long/short, taller/shorter); mass/weight (e.g. heavy/light, heavier than); capacity and volume (e.g. full/empty, more than/less than); time (e.g. quicker, slower)"
Measurement,"compare, describe and order measures",M1,Year 2,"compare and order lengths, mass, volume/capacity and record the results using >, < and ="
Measurement,"compare, describe and order measures",M1,Year 3,compare lengths (m/cm/mm); compare mass (kg/g); compare volume/capacity (l/ml)
Measurement,"compare, describe and order measures",M1,Year 4,"compare different measures, including money in pounds and pence"
Measurement,"compare, describe and order measures",M1,Year 5,
Measurement,"compare, describe and order measures",M1,Year 6,
Measurement,"estimate, measure and read scales",M2,Year 1,"measure and begin to record: lengths and heights; mass/weight; capacity and volume; time (hours, minutes, seconds)"
Measurement,"estimate, measure and read scales",M2,Year 2,"choose and use appropriate standard units to estimate and measure: length/height (m/cm); mass (kg/g); temperature (°C); capacity (litres/ml) to the nearest appropriate unit, using rulers, scales, thermometers and measuring vessels"
Measurement,"estimate, measure and read scales",M2,Year 3,measure lengths (m/cm/mm); measure mass (kg/g); measure volume / capacity (l/ml)
Measurement,"estimate, measure and read scales",M2,Year 4,"estimate different measures, including money in pounds and pence"
Measurement,"estimate, measure and read scales",M2,Year 5,
Measurement,"estimate, measure and read scales",M2,Year 6,
Measurement,money,M3,Year 1,recognise and know the value of different denominations of coins and notes
Measurement,money,M3,Year 2,recognise and use symbols for pounds (£) and pence (p); combine amounts to make a particular value; find different combinations of coins that equal the same amounts of money
Measurement,money,M3,Year 3,Key stage 1 content domain
Measurement,money,M3,Year 4,
Measurement,money,M3,Year 5,
Measurement,money,M3,Year 6,
Measurement,"telling time, ordering time, duration and units of time",M4,Year 1,"tell the time to the hour and half past the hour and draw the hands on a clock face to show these times; sequence events in chronological order using language (e.g. before, after, next); recognise and use language relating to dates, including days of the week, weeks, months and years"
Measurement,"telling time, ordering time, duration and units of time",M4,Year 2,"tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times; compare and sequence intervals of time; know the number of minutes in an hour and the number of hours in a day"
Measurement,"telling time, ordering time, duration and units of time",M4,Year 3,"tell and write the time from an analogue clock; 12-hour clocks; tell and write the time from an analogue clock; 24-hour clocks; tell and write the time from an analogue clock, including using Roman numerals from I to XII; estimate and read time with increasing accuracy to the nearest minute; record and compare time in terms of seconds, minutes and hours; use vocabulary such as o'clock / a.m. / p.m., morning, afternoon, noon and midnight; know the number of seconds in a minute and the number of days in each month, year and leap year; compare durations of events, [e.g. to calculate the time taken by particular events or tasks]"
Measurement,"telling time, ordering time, duration and units of time",M4,Year 4,"read, write and convert time between analogue and digital 12-hour clocks; read, write and convert time between analogue and digital 24-hour clocks; solve problems involving converting from hours to minutes; minutes to seconds; years to months; weeks to days"
Measurement,"telling time, ordering time, duration and units of time",M4,Year 5,solve problems involving converting between units of time
Measurement,"telling time, ordering time, duration and units of time",M4,Year 6,
Measurement,convert between metric units,M5,Year 1,
Measurement,convert between metric units,M5,Year 2,
Measurement,convert between metric units,M5,Year 3,
Measurement,convert between metric units,M5,Year 4,
Measurement,convert between metric units,M5,Year 5,convert between different units of metric measure [e.g. kilometre and metre; centimetre and metre; centimetre and millimetre; gram and kilogram; litre and millilitre]
Measurement,convert between metric units,M5,Year 6,
Measurement,convert metric / imperial,M6,Year 1,
Measurement,convert metric / imperial,M6,Year 2,
Measurement,convert metric / imperial,M6,Year 3,
Measurement,convert metric / imperial,M6,Year 4,convert between different units of measurement [e.g. kilometre to metre; hour to minute]
Measurement,convert metric / imperial,M6,Year 5,"understand and use approximate equivalences between metric units and common imperial units such as inches, pounds and pints"
Measurement,convert metric / imperial,M6,Year 6,"use, read, write and convert between standard units, converting measurements of length, mass, volume and time from a smaller unit of measure to a larger unit, and vice versa, using decimal notation of up to three decimal places; convert between miles and kilometres"
Measurement,"perimeter, area",M7,Year 1,
Measurement,"perimeter, area",M7,Year 2,
Measurement,"perimeter, area",M7,Year 3,measure the perimeter of simple 2-D shapes
Measurement,"perimeter, area",M7,Year 4,measure and calculate the perimeter of a rectilinear figure (including squares) in centimetres and metres; find the area of rectilinear shapes by counting squares
Measurement,"perimeter, area",M7,Year 5,"measure and calculate the perimeter of composite rectilinear shapes in centimetres and metres; calculate and compare the area of rectangles (including squares), and including using standard units, square centimetres (cm²) and square metres (m²) and estimate the area of irregular shapes"
