id,module,level,strand,substrand,year,type,text,answer,hint,options,params
q_1764328354350_10,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 5, 7",3,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_11,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 11, 16",6,The pattern counts forwards in 5s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_12,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, __, 10, 15",5,The pattern counts forwards in 5s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_13,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, __, 4, 6",2,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_14,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, __, 10, 15",5,The pattern counts forwards in 5s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_15,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 11, 16",6,The pattern counts forwards in 5s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_16,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 0, __, 4, 6",2,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_17,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 11, 16",6,The pattern counts forwards in 5s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_18,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 11, 16",6,The pattern counts forwards in 5s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_19,N01_Y1_NPV,2,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 1, __, 5, 7",3,The pattern counts forwards in 2s,,"{""description"":""Developing - Count forwards from 0 or 1, in steps of 2, 5, or 10, up to 50. Longer sequences (4 numbers) with gap at end or middle."",""math"":{""range"":{""min"":0,""max"":50},""sequence"":{""steps"":[2,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_one""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_20,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 95, 100, __, 110, 115",105,The pattern counts forwards in 5s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_21,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 16, 18, __, 22, 24",20,The pattern counts forwards in 2s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_22,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 4, 6, __, 10, 12",8,The pattern counts forwards in 2s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_23,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 50, 40, __, 20, 10",30,The pattern counts backwards in 10s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_24,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 70, 80, __, 100, 110",90,The pattern counts forwards in 10s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_25,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 60, 50, __, 30, 20",40,The pattern counts backwards in 10s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_26,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 90, 95, __, 105, 110",100,The pattern counts forwards in 5s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_27,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 70, 65, __, 55, 50",60,The pattern counts backwards in 5s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_28,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 45, 50, __, 60, 65",55,The pattern counts forwards in 5s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_29,N01_Y1_NPV,3,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 50, 60, __, 80, 90",70,The pattern counts forwards in 10s,,"{""description"":""Meeting - Full curriculum: count forwards and backwards from any given number in multiples of 2, 5, 10, up to and across 100. Standard length sequences (5 numbers)."",""math"":{""range"":{""min"":0,""max"":100},""sequence"":{""steps"":[2,5,10],""length"":5,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_30,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 105, 100, __, 90, 85, 80",95,The pattern counts backwards in 5s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_31,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 100, __, 110, 115, 120, 125",105,The pattern counts forwards in 5s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_32,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 105, __, 95, 90, 85, 80",100,The pattern counts backwards in 5s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_33,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 75, __, 65, 60, 55, 50",70,The pattern counts backwards in 5s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_34,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 20, 30, 40, __, 60, 70",50,The pattern counts forwards in 10s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_35,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 22, 20, 18, 16, __, 12",14,The pattern counts backwards in 2s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_36,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 28, 30, 32, 34, 36, __",38,The pattern counts forwards in 2s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_37,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 55, 60, __, 70, 75, 80",65,The pattern counts forwards in 5s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_38,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 26, 28, 30, 32, __, 36",34,The pattern counts forwards in 2s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_39,N01_Y1_NPV,4,Number and Place Value,Counting (in multiples),1,text_input,"What is the missing number? 80, __, 60, 50, 40, 30",70,The pattern counts backwards in 10s,,"{""description"":""Exceeding - Extended range to 120, longer sequences (6 numbers), backwards counting, random gap positions for minimal scaffolding."",""math"":{""range"":{""min"":0,""max"":120},""sequence"":{""steps"":[2,5,10],""length"":6,""directions"":[""forwards"",""backwards""],""startStrategy"":""any_multiple""}},""presentation"":{""gaps"":{""position"":""random"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_40,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 10, __",20,The pattern counts forwards in 10s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_41,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 3, __",6,The pattern counts forwards in 3s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_42,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 3, __",6,The pattern counts forwards in 3s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_43,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 5, __",10,The pattern counts forwards in 5s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_44,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 2, __",4,The pattern counts forwards in 2s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_45,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 3, __",6,The pattern counts forwards in 3s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_46,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 10, __",20,The pattern counts forwards in 10s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_47,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 5, __",10,The pattern counts forwards in 5s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_48,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 10, __",20,The pattern counts forwards in 10s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_49,N01_Y2_NPV,1,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, 2, __",4,The pattern counts forwards in 2s,,"{""description"":""Beginning - Count forwards only from 0, in steps of 2, 3, 5, or 10, up to 40. Short sequences (3 numbers) with gap at end for predictability."",""math"":{""range"":{""min"":0,""max"":40},""sequence"":{""steps"":[2,3,5,10],""length"":3,""directions"":[""forwards""],""startStrategy"":""zero_only""}},""presentation"":{""gaps"":{""position"":""end"",""count"":1},""visualType"":""sequence""}}"
q_1764328354350_50,N01_Y2_NPV,2,Number and Place Value,Counting (in multiples),2,text_input,"What is the missing number? 0, __, 10, 15",5,The pattern counts forwards in 5s,,"{""description"":""Developing - Count forwards from 0 (for 2,3,5) or any number (for 10s), up to 60. Longer sequences (4 numbers) with gap at middle."",""math"":{""range"":{""min"":0,""max"":60},""sequence"":{""steps"":[2,3,5,10],""length"":4,""directions"":[""forwards""],""startStrategy"":""zero_or_tens""}},""presentation"":{""gaps"":{""position"":""middle"",""count"":1},""visualType"":""sequence""}}"
