index,level1,level2,level3,year,module_code,module_description,difficulty,attribute
12,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",2_cannot,Do not count in 3s. Do not start counting 10s from a non-multiple of 10. No complex word problems. No inferring step size.
13,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",3_can,"Count forwards and backwards in 2s, 3s, and 5s from 0 up to 100. Count forwards and backwards in 10s from any number (including non-multiples of 10) up to 100. Questions involve finding specific terms in a sequence or identifying missing numbers. Can include simple, explicit word problems (e.g., ""counting pairs of socks"")."
14,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",3_cannot,Do not count beyond 100. Do not use other skip counts. No multi-step problems. No extraneous information in word problems.
15,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",4_can,"Count forwards and backwards fluently in 2s, 3s, 5s, and 10s up to and across 100, from any given number. Questions include identifying errors in sequences, complex missing number problems, or applying counting skills to solve simple, multi-step word problems (e.g., ""If I count in 3s from 5, what is the 4th number?"")."
16,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",4_cannot,Do not count beyond 100. Do not introduce negative numbers. No fractional or decimal steps. No highly abstract contexts.
17,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",1_can,Count forwards from 0 in multiples of 4 and 100 up to 200. Questions are direct sequences or identifying the next term. Use number lines or visual grouping where appropriate.
18,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",1_cannot,Do not count backwards. Do not count in 8s or 50s. Do not start from a non-zero number. No missing numbers beyond the immediate next term. No word problems.
19,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",2_can,"Count forwards from 0 in multiples of 4, 8 and 100 up to 500. Questions involve finding missing numbers in sequences or identifying if a number is a multiple. Can include simple, explicit word problems (e.g., ""How many legs on 5 spiders?"")."
20,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",2_cannot,Do not count backwards. Do not count in 50s. No starting from a non-zero number. No multi-step problems. No inferring patterns.
21,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",3_can,"Count forwards and backwards from 0 in multiples of 4, 8, and 100 up to 1000. Count forwards from 0 in multiples of 50 up to 500. Questions include generating sequences, identifying patterns, or solving simple word problems that require direct application of counting multiples."
22,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",3_cannot,Do not count in 50s backwards. Do not count beyond 1000. No multi-step problems requiring combination of different multiples. No abstract contexts.
23,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",4_can,"Count forwards and backwards from 0 in multiples of 4, 8, 50 and 100, up to 1000 (or higher for 50/100 as appropriate, e.g., to 5000 for 100s). Questions involve comparing numbers in sequences, identifying errors, or solving multi-step word problems (e.g., ""If you have 16 legs, how many spiders?""). Can involve finding how many multiples are within a range."
24,Number,Place Value,Counting,3,B,"count from 0 in multiples of 4, 8, 50 and 100",4_cannot,Do not use negative numbers. No fractional or decimal multiples. No highly abstract problems that require deep conceptual understanding of factors/division beyond counting.
25,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,1_can,"Count backwards by 1s ONLY. Start numbers 1-10. End numbers -5 to 0. Format: simple sequence/direct instruction. Suggest number line visuals. Context: none or basic concrete (e.g., temp drop)."
26,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,1_cannot,No steps Ã¢â°Â  1. No start >10. No end < -5. No missing numbers (beyond next term). No word problem interpretation. No mental calculation expectation without visual aid.
27,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,2_can,"Count backwards by 1s ONLY. Start numbers 1-20. End numbers -10 to 0. Format: sequences with short gaps, simple direct. Context: simple 1-step word problems (e.g., temp, elevation)."
28,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,2_cannot,No steps Ã¢â°Â  1. No start >20. No end < -10. No multi-step problems. No extraneous info. No starting from negative numbers.
29,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,3_can,"Count backwards by 1s, 2s, 5s, 10s. Start numbers 1-50. End numbers -20 to 0. Format: longer sequences with any missing terms, simple word problems. Context: relatable (e.g., bank balance, altitude)."
30,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,3_cannot,"No other step sizes. No start >50. No end < -20. No multi-step beyond simple counting. No complex/unfamiliar contexts. Step size must be stated, not inferred."
31,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,4_can,"Count backwards by ANY integer step. Start numbers ANY positive or negative. End numbers ANY negative (e.g., to -100). Format: complex sequences, multi-step word problems, rule identification. Context: abstract/novel, requires interpretation. CAN infer step size from pattern. Questions may involve finding intervals across zero."
32,Number,Place Value,Counting,4,A,count backwards through zero to include negative numbers,4_cannot,No fractions/decimals in numbers or step sizes. No factors/multiples concepts beyond counting. No highly abstract/academic contexts. No extraneous numerical data.
33,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",1_can,"Count forwards/backwards in 1s or 10s with positive and negative numbers. Start from positive or negative. Range: -20 to 20. Context: simple, explicit (e.g., temperature, depth). Questions: direct counting, identify next/previous number."
34,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",1_cannot,No step sizes other than 1s or 10s. No range beyond -20 to 20. No missing numbers in sequence. No multi-step context. No complex interpretation of context.
35,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",2_can,"Count forwards/backwards in 1s, 2s, 5s, 10s with positive and negative numbers. Start from positive or negative. Range: -50 to 50. Context: simple word problems requiring interpretation of single values (e.g., ""If temperature is -5 and rises 10...""). Questions: finding missing numbers in sequences, single-step problem solving."
36,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",2_cannot,"No step sizes other than 1s, 2s, 5s, 10s. No range beyond -50 to 50. No complex multi-step problems involving intervals across zero. No inferring step size."
37,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",3_can,"Count forwards/backwards in any integer step with positive and negative numbers. Start from positive or negative. Range: -100 to 100. Context: relatable word problems requiring interpretation of a sequence or basic interval. Questions: generating sequences, identifying patterns, simple interval calculations (e.g., ""How many degrees from -5 to 10?"")."
38,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",3_cannot,No range beyond -100 to 100. No multi-step problems that combine interval calculations with other operations. No highly abstract contexts.
39,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",4_can,"Count forwards/backwards fluently with positive and negative whole numbers, using any integer step. Range: beyond -100 to 100 as needed for context. Context: complex word problems involving multiple changes, comparison, or calculating intervals across zero. Questions: multi-step problem solving, identifying errors, justifying reasoning, working with unfamiliar contexts."
40,Number,Place Value,Counting,5,A,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",4_cannot,No decimal or fractional numbers. No abstract mathematical concepts beyond counting and intervals across zero.
41,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",1_can,"Interpret negative numbers in simple contexts (e.g., temperature, debt) using small whole numbers. Count forwards and backwards by 1s or 10s between positive and negative numbers (e.g., -5 to 5). Calculate intervals across zero for small numbers using direct counting or number line."
42,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",1_cannot,No complex contexts. No step sizes other than 1s or 10s. No numbers beyond -10 to 10. No multi-step problems. No interval calculation requiring subtraction.
43,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",2_can,"Interpret negative numbers in common contexts (e.g., bank balance, altitude). Count forwards and backwards by 1s, 2s, 5s, 10s with positive and negative numbers across a wider range (e.g., -30 to 30). Calculate intervals across zero for two given numbers (e.g., -10 to 15) by counting steps on a number line or simple addition."
44,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",2_cannot,"No uncommon contexts. No step sizes other than 1s, 2s, 5s, 10s. No numbers beyond -30 to 30. No complex multi-step interval problems or problems involving multiple changes."
45,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",3_can,"Use negative numbers in varied real-world contexts, including those that require slight interpretation. Count forwards and backwards with any integer step size using larger positive and negative numbers (e.g., -100 to 100). Calculate intervals across zero for given numbers using subtraction for one side and addition for the other (e.g., distance from -15 to 20 is 15 + 20)."
46,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",3_cannot,"No highly abstract or unfamiliar contexts. No fractional/decimal values in numbers or intervals. No complex multi-step problems that blend interval calculation with other operations (e.g., multiplication, division)."
47,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",4_can,"Fluently use negative numbers in complex real-world and abstract contexts, including those with multiple variables. Calculate intervals across zero efficiently and accurately, including situations where both numbers are negative (e.g., interval from -10 to -5) or involve multi-step reasoning (e.g., finding a new position after two changes crossing zero). Questions may require comparing intervals, justifying solutions, or identifying errors."
48,Number,Place Value,Counting,6,A,"use negative numbers in context, and calculate intervals across zero",4_cannot,No fractional or decimal values in numbers or intervals. No concepts beyond the scope of using negative numbers and calculating intervals.
49,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",1_can,"Compare 2 groups of objects (up to 10) or numbers (up to 5) using ""more than"" and ""less than"". Identify ""most"" and ""least"" from up to 3 groups/numbers (up to 5). Questions are direct comparisons. Use concrete objects/pictures."
50,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",1_cannot,"Do not use numbers >10 for groups or >5 for direct numbers. Do not use symbols (<, >, =). No word problems requiring inference. No more than 3 items/groups for most/least."
51,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",2_can,"Compare 2 groups of objects (up to 20) or numbers (up to 10) using ""more than"", ""less than"", ""equal to"". Identify ""most"" and ""least"" from up to 5 groups/numbers (up to 10). Questions may involve simple scenarios (e.g., comparing number of toys)."
52,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",2_cannot,Do not use numbers >20 for groups or >10 for direct numbers. Do not use symbols. No complex word problems. Focus on direct comparison of quantities/numbers.
53,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",3_can,"Compare 2 numbers (up to 20) using ""more than"", ""less than"", ""equal to"". Identify ""most"" and ""least"" from up to 10 numbers (up to 20). Questions include identifying true/false statements or simple word problems with explicit comparisons."
54,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",3_cannot,Do not use numbers >20. Do not use symbols. No abstract comparisons. No multi-step problems or problems with extraneous information.
55,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",4_can,"Apply ""equal to, more than, less than (fewer), most, least"" to numbers up to 100 or small groups. Questions involve ordering small sets of numbers (up to 5) from least to most or vice versa. Can identify errors in comparative statements. Contexts are simple and clear."
56,Number,Place Value,Comparing Numbers,1,A,"use the language of: equal to, more than, less than (fewer), most, least",4_cannot,Do not use numbers >100. Do not use symbols. No complex multi-step problems. Focus on language comprehension and direct application.
57,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",1_can,"Compare two numbers (0-20) using ""greater than"", ""less than"", ""equal to"", or corresponding symbols (<, >, =). Order up to 3 numbers (0-20). Questions are direct numerical comparisons or simple ordering tasks. Use number lines as visual aids."
58,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",1_cannot,Do not compare numbers >20. Do not order more than 3 numbers. No word problems. No numbers near 100.
59,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",2_can,"Compare two numbers (0-50) using <, >, = signs. Order up to 5 numbers (0-50). Questions include identifying missing comparison symbols or ordering short sets of numbers. Can involve simple, explicit word problems (e.g., ""Who has more marbles?"")."
60,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",2_cannot,Do not compare numbers >50. Do not order more than 5 numbers. No complex word problems. No numbers very close to 100.
61,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",3_can,"Compare two numbers (0-100) using <, >, = signs. Order up to 10 numbers (0-100). Questions involve ordering longer sets of numbers, including those close to 100, or identifying numbers that fit a comparison (e.g., ""Find a number between 45 and 55"")."
62,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",3_cannot,Do not compare numbers beyond 100. No complex multi-step problems. No abstract scenarios. No decimals or fractions.
63,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",4_can,"Fluently compare and order numbers from 0 up to 100 using <, >, = signs. Questions include identifying errors in ordering, solving multi-step word problems involving comparisons (e.g., comparing results of simple calculations), or reasoning about possible numbers that satisfy multiple conditions."
64,Number,Place Value,Comparing Numbers,2,A,"compare and order numbers from 0 up to 100; use <, > and = signs",4_cannot,Do not use numbers beyond 100. No negative numbers. No decimals or fractions. No complex mathematical operations to derive numbers for comparison.
65,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,1_can,Compare two 3-digit numbers (up to 200). Order up to 3 three-digit numbers (up to 200). Questions are direct numerical comparisons or simple ordering tasks. Use place value charts or number lines as visual support.
66,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,1_cannot,Do not compare numbers >200. Do not order more than 3 numbers. No word problems requiring inference. Focus on numbers where only the hundreds or tens digit differs significantly.
67,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,2_can,"Compare two 3-digit numbers (up to 500). Order up to 5 three-digit numbers (up to 500). Questions include identifying missing comparison symbols or ordering short sets of numbers. Can involve simple, explicit word problems (e.g., comparing populations of small towns)."
68,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,2_cannot,"Do not compare numbers >500. Do not order more than 5 numbers. No complex word problems. Numbers should not require very subtle place value discrimination (e.g., 345 vs 354)."
69,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,3_can,"Compare two numbers (up to 1000) using <, >, = signs. Order up to 10 numbers (up to 1000). Questions involve ordering longer sets of numbers, including those with subtle differences (e.g., 678 vs 687), or identifying numbers that fit a comparison. Can include single-step word problems."
70,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,3_cannot,Do not compare numbers beyond 1000. No complex multi-step problems. No abstract scenarios. No decimals or fractions.
71,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,4_can,"Fluently compare and order numbers up to 1000 using <, >, = signs. Questions include identifying errors in ordering, solving multi-step word problems involving comparisons (e.g., comparing results of simple additions), or reasoning about possible numbers that satisfy multiple conditions. May involve finding numbers that fit within a given range, or identifying the largest/smallest in a complex set."
72,Number,Place Value,Comparing Numbers,3,A,compare and order numbers up to 1000,4_cannot,Do not use numbers beyond 1000. No negative numbers. No decimals or fractions. No operations beyond basic mental arithmetic to derive numbers for comparison.
73,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,1_can,Compare two 4-digit numbers (up to 2000). Order up to 3 four-digit numbers (up to 2000). Questions are direct numerical comparisons or simple ordering tasks. Use place value charts.
74,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,1_cannot,Do not compare numbers >2000. Do not order more than 3 numbers. No numbers with more than 4 digits. No word problems requiring inference. Focus on numbers where a leading digit differs significantly.
75,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,2_can,"Compare two numbers up to 10,000. Order up to 5 numbers up to 10,000. Questions include identifying missing comparison symbols or ordering short sets of numbers. Can involve simple, explicit word problems comparing quantities."
76,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,2_cannot,"Do not compare numbers >10,000. Do not order more than 5 numbers. No numbers with more than 5 digits. No complex word problems. Numbers should not require very subtle place value discrimination (e.g., 4567 vs 4576)."
77,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,3_can,"Compare two numbers up to 100,000. Order up to 10 numbers up to 100,000. Questions involve ordering longer sets of numbers, including those with subtle differences (e.g., 23,456 vs 23,546), or identifying numbers that fit a comparison. Can include single-step word problems."
78,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,3_cannot,"Do not compare numbers beyond 100,000. No negative numbers. No decimals or fractions (handled by N-PV-CN-4b). No complex multi-step problems."
79,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,4_can,"Fluently compare and order numbers up to 1,000,000. Questions include identifying errors in ordering, solving multi-step word problems involving comparisons (e.g., comparing populations, distances), or reasoning about possible numbers that satisfy multiple conditions, including those derived from simple calculations. Can involve finding ranges or extreme values within complex sets."
80,Number,Place Value,Comparing Numbers,4,A,order and compare numbers beyond 1000,4_cannot,"Do not use numbers beyond 1,000,000. No negative numbers. No decimals or fractions (handled by N-PV-CN-4b). No operations beyond basic arithmetic to derive numbers for comparison."
81,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",1_can,"Read, write, order, and compare numbers up to 100,000. Determine value of each digit in 5-digit numbers. Questions are direct numerical tasks or very simple explicit word problems. Use place value charts."
82,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",1_cannot,"Do not use numbers >100,000. No numbers with decimals or fractions. No negative numbers. No complex multi-step problems. No subtle digit value determination (e.g., asking value of 0 in 105,000)."
83,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",2_can,"Read, write, order, and compare numbers up to 500,000. Determine value of each digit in 6-digit numbers. Questions include missing digits, ordering lists of numbers, or interpreting simple population/distance figures."
84,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",2_cannot,"Do not use numbers >500,000. No decimals or fractions. No negative numbers. No complex word problems requiring multiple interpretations."
85,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",3_can,"Read, write, order, and compare numbers up to 1,000,000. Determine value of each digit in numbers up to 1,000,000, including zeros. Questions involve ordering larger sets, creating numbers with specific digit values, or solving word problems that require comparing large numbers and understanding their place value."
86,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",3_cannot,"Do not use numbers >1,000,000. No decimals or fractions. No negative numbers. No problems requiring multi-step calculations to derive numbers for comparison."
87,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",4_can,"Fluently read, write, order, and compare numbers up to 1,000,000, and demonstrate deep understanding of each digit's value. Questions include identifying errors in presented data, solving multi-step problems involving ordering and comparing numbers derived from various operations, or creating numbers based on complex constraints. Can involve reasoning about magnitudes and relative values."
88,Number,Place Value,Comparing Numbers,5,A,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",4_cannot,"No numbers beyond 1,000,000. No negative numbers. No fractions or decimals unless context is solely about interpreting their whole number component."
89,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",1_can,"Read, write, order, and compare numbers up to 1,000,000. Determine value of each digit in 6-digit numbers. Questions are direct numerical tasks or very simple explicit word problems. Use place value charts."
90,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",1_cannot,"Do not use numbers >1,000,000. No numbers with decimals or fractions. No negative numbers. No complex multi-step problems. No subtle digit value determination (e.g., asking value of 0 in 1,005,000)."
91,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",2_can,"Read, write, order, and compare numbers up to 5,000,000. Determine value of each digit in numbers up to 5,000,000. Questions include missing digits, ordering lists of numbers, or interpreting simple population/distance figures in millions."
92,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",2_cannot,"Do not use numbers >5,000,000. No decimals or fractions. No negative numbers. No complex word problems requiring multiple interpretations."
93,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",3_can,"Read, write, order, and compare numbers up to 10,000,000. Determine value of each digit in numbers up to 10,000,000, including zeros. Questions involve ordering larger sets (up to 10 numbers), creating numbers with specific digit values, or solving word problems that require comparing large numbers and understanding their place value in context."
94,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",3_cannot,"Do not use numbers >10,000,000. No decimals or fractions. No negative numbers. No problems requiring multi-step calculations to derive numbers for comparison."
95,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",4_can,"Fluently read, write, order, and compare numbers up to 10,000,000, and demonstrate deep understanding of each digit's value. Questions include identifying errors in presented large datasets, solving multi-step problems involving ordering and comparing numbers derived from various operations (e.g., large sums, products), or creating numbers based on complex constraints (e.g., ""What is the largest number you can make using these digits?""). Can involve reasoning about magnitudes and relative values across different scales."
96,Number,Place Value,Comparing Numbers,6,A,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",4_cannot,"No numbers beyond 10,000,000. No negative numbers. No fractions or decimals unless context is solely about interpreting their whole number component."
97,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",1_can,"Identify and represent numbers 1-10 using concrete objects (e.g., counters, blocks) and simple pictorial representations (e.g., dots, drawings). Locate numbers 1-10 on a number line (0-10 or 1-10)."
98,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",1_cannot,"Do not use numbers outside 1-10. Do not use abstract representations. No estimation tasks. No complex number line interpretation (e.g., finding midpoints)."
99,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",2_can,"Identify and represent numbers 1-20 using a variety of objects and pictorial representations (e.g., ten frames, bead strings). Locate numbers 1-20 on a number line (0-20). Questions involve matching numbers to representations or drawing simple representations."
100,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",2_cannot,Do not use numbers outside 1-20. No estimation tasks. No representations requiring complex grouping or place value understanding beyond simple counting.
101,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",3_can,"Identify and represent numbers 1-20 using pictorial representations and number lines. Fill in missing numbers on a number line. Reason about the location of numbers (e.g., ""12 is 2 more than 10"")."
102,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",3_cannot,Do not use numbers outside 1-20. No complex estimation. Representations should not involve abstract or purely symbolic forms without visual aid. No numbers beyond 2 digits.
103,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",4_can,"Identify and represent numbers 1-20 using various pictorial and basic symbolic representations. Locate numbers on partially marked number lines. Reason about proportional location (e.g., ""16 is just over halfway between 10 and 20"")."
104,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,A,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",4_cannot,No formal estimation of quantities. Representations should not require advanced place value understanding or complex abstract symbols. No numbers beyond 20.
105,Number,Place Value,"Identifying, Representing and Estimating Numbers",2,A,"Identify, represent, and estimate two-digit numbers using different representations, and reason about their location on a 0-100 number line.",1_can,"Identify and represent 2-digit numbers (up to 50) using concrete objects and pictorial representations (e.g., Dienes blocks, bundles of ten). Locate numbers (up to 50) on numbered or partially numbered number lines. Estimate quantities (up to 20) in simple visual scenarios."
106,Number,Place Value,"Identifying, Representing and Estimating Numbers",2,A,"Identify, represent, and estimate two-digit numbers using different representations, and reason about their location on a 0-100 number line.",1_cannot,Do not use numbers >50. No complex representations or abstract symbols. No estimation of quantities >20. No word problems for estimation.
